snapped_at,price,market_cap,total_volume
2021-08-14 00:00:00 UTC,9.14786113424883,182062727.04399200,3116259.523016200
2021-08-15 00:00:00 UTC,8.551744317793670,170089093.9350530,1458007.4485972900
2021-08-16 00:00:00 UTC,8.056447983028250,160385905.88860700,960826.1285202500
2021-08-17 00:00:00 UTC,7.461315289141140,148658265.54342600,1236059.5215291400
2021-08-18 00:00:00 UTC,7.385115283764720,147131870.94780900,783631.1590992560
2021-08-19 00:00:00 UTC,8.027774620508560,159993249.11401800,3995485.433103980
2021-08-20 00:00:00 UTC,8.89733128075795,176759556.0423390,29634200.081565600
2021-08-21 00:00:00 UTC,8.572812697885060,171095243.66785500,4040911.911054080
2021-08-22 00:00:00 UTC,9.011293090872350,180047468.05427400,2132344.315827060
2021-08-23 00:00:00 UTC,8.569810192729480,171256685.614326,2766042.7844624500
2021-08-24 00:00:00 UTC,9.885339135928900,196641591.69424700,4261253.174281690
2021-08-25 00:00:00 UTC,10.254470233564300,205003230.4133710,13715712.896466500
2021-08-26 00:00:00 UTC,15.855744468580500,316806681.19881,28705900.37770920
2021-08-27 00:00:00 UTC,13.74779691857800,278382615.82057900,21273204.92713690
2021-08-28 00:00:00 UTC,13.778955244894300,272221443.7220190,4202749.665401850
2021-08-29 00:00:00 UTC,14.544631338123400,290710886.8614050,6825856.73880811
2021-08-30 00:00:00 UTC,15.40568772509500,302723616.9737660,7993196.487413890
2021-08-31 00:00:00 UTC,15.380436101922500,306329813.970422,13979267.939791700
2021-09-01 00:00:00 UTC,17.978699787255900,358836041.75881400,39667354.56871720
2021-09-02 00:00:00 UTC,14.474294572372500,285336410.5484890,17988095.33103560
2021-09-03 00:00:00 UTC,13.339329978972400,268011987.17100900,9379000.11511122
2021-09-04 00:00:00 UTC,12.518204963907600,251299893.2136370,5620856.440712140
2021-09-05 00:00:00 UTC,12.613346488977100,254178480.27667900,7597713.208024930
2021-09-06 00:00:00 UTC,12.282349102942600,246717385.5149630,3637172.3248299500
2021-09-07 00:00:00 UTC,12.465775847969100,250668321.67499100,2509472.175993270
2021-09-08 00:00:00 UTC,10.44013398583590,208953491.4207210,6484504.957408990
2021-09-09 00:00:00 UTC,10.182097810550300,204712679.40885100,2265085.5901290600
2021-09-10 00:00:00 UTC,10.263923181128300,206453246.33959500,4151718.579386090
2021-09-11 00:00:00 UTC,9.91574302927728,199149231.15271200,1965608.5998260400
2021-09-12 00:00:00 UTC,10.110866301684700,203236862.25981200,2901754.8366202400
2021-09-13 00:00:00 UTC,10.134768585718200,204463538.292229,2235795.348094390
2021-09-14 00:00:00 UTC,10.004510031384500,200964195.5767940,1499218.142609610
2021-09-15 00:00:00 UTC,10.249066041006900,206687930.88291200,3998746.2742733600
2021-09-16 00:00:00 UTC,10.389720757785600,208878321.84531400,2909325.3363461200
2021-09-17 00:00:00 UTC,9.829537371045180,197403551.13854800,2692452.3732119600
2021-09-18 00:00:00 UTC,9.568247111372200,197176034.37935900,1925190.9881741400
